Startup Name,Industry,Total Funding (M$),Number of Investors,Investor Reputation,Growth Rate (%),Revenue (M$),Market Size,Years Since Founded,Success Score
AgriAISystems,EdTech,330.87,14,3.29,75.66,6.43,Small,5,16.02
InnoEdgeInnovations,Healthcare,324.27,8,2.09,11.5,2.7,Large,6,58.22
InnoAIVentures,EdTech,416.56,2,9.0,7.69,1.65,Small,7,90.17
SmartConnectHub,GreenTech,139.45,1,4.84,71.57,47.68,Large,5,10.61
AgriConnectHub,Autonomous Vehicles,162.57,4,8.35,18.9,15.31,Small,8,93.59
TechFinanceAI,Healthcare,118.65,14,4.56,52.39,1.74,Medium,4,12.11
SmartLabNetwork,AgriTech,240.76,1,8.67,30.04,88.48,Small,15,61.89
HyperFinanceHub,AI,287.75,8,3.8,51.18,0.64,Large,6,87.27
AgriSphereHub,Healthcare,246.26,13,4.11,24.56,61.81,Large,3,65.92
QuantumEdgeInc,GreenTech,319.7,12,5.8,31.99,70.6,Large,9,77.27
GreenCloudSystems,Quantum Computing,292.97,7,8.86,18.75,75.55,Medium,11,92.86
NextCloudInnovations,Cybersecurity,414.68,3,2.22,31.06,96.56,Large,10,60.09
InnoConnectInc,GreenTech,337.79,15,5.13,18.72,85.34,Large,1,39.51
GreenEdgeAI,Quantum Computing,412.8,1,1.01,12.2,9.09,Medium,6,62.32
HyperAIHub,AI,360.87,5,4.31,59.95,15.27,Medium,2,25.49
HyperGrowthHub,Cybersecurity,178.2,5,9.15,68.2,30.41,Medium,19,51.81
AgriFinanceTech,Autonomous Vehicles,265.9,9,5.88,7.24,54.22,Medium,8,39.94
FinSphereTech,Quantum Computing,129.0,3,4.29,33.71,44.42,Medium,18,27.67
GreenSphereTech,AgriTech,291.32,7,9.2,75.69,93.12,Medium,8,16.67
AgriAINetwork,Cybersecurity,126.44,10,9.61,50.23,19.92,Medium,9,24.93
GreenLabInnovations,Cybersecurity,408.07,8,1.09,70.55,93.3,Large,7,24.4
FinConnectSolutions,Autonomous Vehicles,315.51,13,8.66,75.54,44.89,Small,19,88.12
TechSphereHub,FinTech,332.47,12,8.03,26.25,49.85,Small,9,38.79
FinAIAnalytics,GreenTech,289.38,7,6.37,8.97,49.87,Small,18,98.59
InnoGrowthInc,AgriTech,154.01,2,9.37,22.42,90.44,Large,19,5.09
FinHealthAI,AI,110.66,1,2.53,2.43,34.2,Medium,8,46.93
NextHealthAnalytics,AI,463.24,13,1.2,33.19,24.48,Small,1,15.74
SmartEdgeVentures,Healthcare,17.49,4,1.15,79.39,91.85,Large,5,71.29
QuantumHealthAI,Healthcare,428.43,15,1.47,41.33,82.45,Medium,13,76.99
FinEdgeVentures,AI,470.11,3,5.72,73.9,58.85,Small,19,9.27
NeuroSphereAnalytics,EdTech,482.03,4,8.49,29.33,21.38,Small,19,87.97
NextFinanceInnovations,EdTech,141.87,15,1.36,10.19,55.3,Medium,20,85.85
SmartFinanceInnovations,EdTech,84.01,13,1.36,0.62,96.13,Small,9,96.02
AgriCloudSolutions,AgriTech,71.98,13,9.23,52.32,87.26,Large,11,58.26
AgriLabVentures,FinTech,134.35,15,7.89,72.64,47.41,Large,11,76.97
HyperConnectInnovations,AgriTech,343.41,3,5.79,50.59,62.88,Medium,13,72.72
InnoFinanceAI,EdTech,162.73,11,5.87,72.4,30.36,Medium,17,96.86
GreenCloudInnovations,FinTech,106.69,6,9.59,61.04,1.39,Small,11,81.77
AgriHealthSystems,Quantum Computing,136.59,7,2.17,41.65,88.88,Small,1,91.66
NeuroHealthAnalytics,Quantum Computing,20.79,8,1.18,68.29,0.37,Medium,2,4.63
NextHealthNetwork,EdTech,195.64,11,2.61,67.21,23.62,Medium,12,70.98
GreenHealthAnalytics,EdTech,99.95,13,4.82,20.47,8.37,Medium,20,72.76
AgriHealthTech,EdTech,6.21,8,3.8,43.22,48.39,Large,20,44.44
GreenGrowthSystems,Healthcare,14.09,14,1.15,55.61,66.5,Large,17,52.38
NextSphereSolutions,Quantum Computing,260.43,8,4.26,48.07,37.03,Large,14,92.83
TechCloudAI,EdTech,101.62,9,8.53,45.68,22.71,Medium,5,80.7
NextSphereSolutions,AI,110.93,13,8.96,22.38,47.71,Small,13,75.41
HyperConnectAnalytics,Cybersecurity,69.91,10,9.16,10.55,26.39,Small,4,39.8
NeuroHealthAnalytics,FinTech,497.32,9,1.98,56.14,17.04,Medium,6,64.71
QuantumHealthSolutions,Cybersecurity,275.19,12,8.07,4.14,18.13,Large,18,29.6
AgriCloudAnalytics,AgriTech,38.09,2,7.31,30.33,57.46,Small,13,28.03
NextHealthInnovations,AgriTech,115.29,13,6.13,50.39,60.78,Large,20,15.14
AgriSphereNetwork,AgriTech,150.32,10,1.56,60.58,89.08,Large,14,59.66
TechLabNetwork,Healthcare,271.84,15,4.26,41.34,35.3,Large,20,84.38
QuantumFinanceAI,FinTech,275.01,4,5.21,3.88,68.97,Large,15,9.95
NextSphereVentures,AI,292.4,14,6.29,42.58,18.92,Large,16,81.19
NextGrowthSolutions,AI,34.93,10,8.26,30.27,83.72,Large,15,53.56
FinDataHub,AI,365.36,13,8.3,77.42,58.7,Large,4,5.25
TechConnectAI,Healthcare,469.6,11,5.77,56.6,52.29,Small,2,96.74
TechCloudInc,FinTech,349.49,8,1.75,62.44,10.65,Small,1,36.14
FinConnectTech,Autonomous Vehicles,444.52,9,6.3,49.95,91.19,Large,10,11.36
AgriSphereInc,GreenTech,439.67,4,8.28,17.68,44.21,Small,20,17.47
SmartHealthSystems,EdTech,439.23,12,3.79,12.48,89.88,Large,7,50.99
TechConnectSolutions,Autonomous Vehicles,425.94,15,1.61,54.4,97.95,Small,11,79.72
QuantumFinanceSolutions,AI,50.67,6,3.64,8.42,43.38,Large,11,9.48
NeuroHealthInnovations,Quantum Computing,285.25,5,3.91,27.59,48.41,Small,6,84.69
FinSphereInnovations,GreenTech,64.06,1,9.78,63.65,68.53,Small,18,8.19
GreenFinanceInc,EdTech,263.6,7,8.29,41.09,67.0,Large,19,6.42
AgriEdgeInnovations,Healthcare,163.86,5,7.43,7.25,1.63,Large,9,87.4
TechHealthSystems,Healthcare,299.96,13,1.31,69.96,18.22,Medium,15,63.62
NeuroFinanceInc,EdTech,488.58,2,8.69,20.17,5.72,Small,3,79.4
FinLabAI,FinTech,147.52,5,2.24,45.82,15.57,Large,3,22.02
FinFinanceHub,FinTech,291.96,6,3.47,28.09,80.37,Medium,19,86.77
TechEdgeSystems,EdTech,298.38,8,8.99,9.03,94.66,Large,13,62.63
TechDataInnovations,AI,459.93,13,9.6,77.23,70.89,Medium,15,68.23
SmartCloudTech,EdTech,144.02,11,5.48,78.47,2.14,Large,7,7.16
HyperGrowthInnovations,EdTech,462.39,8,4.39,22.84,11.2,Large,12,89.11
NeuroEdgeAI,GreenTech,114.43,6,9.22,77.47,4.03,Large,19,10.59
NeuroCloudAI,GreenTech,418.07,9,4.41,47.08,0.71,Medium,12,62.43
InnoGrowthSolutions,FinTech,262.69,7,2.94,8.95,48.1,Large,16,66.71
NeuroDataInc,FinTech,281.13,3,1.16,32.52,25.81,Medium,10,34.33
NextDataVentures,Quantum Computing,41.71,11,2.84,13.38,18.4,Small,3,76.29
TechHealthSystems,Autonomous Vehicles,260.22,2,7.1,26.08,48.7,Small,15,98.47
TechSphereAnalytics,Cybersecurity,253.3,6,1.71,40.91,58.57,Medium,5,46.96
AgriEdgeSystems,Quantum Computing,456.88,6,8.5,13.66,7.56,Large,7,44.13
GreenHealthInnovations,AgriTech,152.18,5,7.14,31.55,86.32,Small,10,62.54
NextHealthSystems,EdTech,387.38,2,8.14,38.03,12.22,Medium,12,77.04
TechAIAI,EdTech,432.03,4,9.02,60.31,32.05,Small,13,53.65
HyperLabAnalytics,AI,307.16,13,1.25,9.34,33.56,Small,13,95.25
TechConnectAI,Autonomous Vehicles,144.59,5,3.16,7.7,71.58,Large,6,2.58
TechFinanceHub,FinTech,441.5,2,8.75,42.45,51.84,Medium,7,53.45
SmartCloudSolutions,Cybersecurity,240.74,2,3.07,75.25,64.28,Medium,7,86.65
QuantumConnectInc,Healthcare,18.52,1,4.97,33.68,67.05,Large,11,12.65
NextDataVentures,GreenTech,294.0,2,9.72,40.98,18.01,Medium,9,89.74
FinEdgeHub,EdTech,21.84,10,8.62,11.19,22.71,Large,9,68.95
AgriHealthInc,Healthcare,5.11,15,5.25,44.55,95.04,Medium,13,16.88
NeuroSphereAI,Cybersecurity,295.46,13,9.5,34.81,85.97,Medium,10,92.85
HyperCloudAI,Autonomous Vehicles,162.02,8,9.89,22.97,94.38,Small,8,93.63
GreenFinanceAnalytics,Healthcare,18.71,11,8.59,24.64,71.94,Small,15,69.0
QuantumAIInc,Quantum Computing,114.41,11,2.98,26.73,64.98,Medium,10,13.72
QuantumEdgeInc,Healthcare,482.41,2,7.96,79.3,55.06,Large,7,0.13
GreenLabInnovations,Quantum Computing,67.92,12,8.87,45.45,42.01,Large,2,48.65
NeuroCloudAnalytics,GreenTech,198.89,2,8.1,50.07,24.47,Medium,17,91.02
NextDataNetwork,FinTech,88.67,14,2.06,34.69,70.88,Medium,15,50.05
HyperGrowthInnovations,Cybersecurity,255.04,2,3.08,37.98,11.97,Large,8,90.72
NextAIHub,AI,91.15,10,4.24,55.85,42.47,Medium,4,41.31
GreenEdgeInnovations,Cybersecurity,159.59,4,3.83,54.92,24.86,Small,16,14.27
TechDataNetwork,Healthcare,7.96,6,7.26,5.42,25.07,Medium,20,98.13
QuantumCloudSystems,AgriTech,356.96,10,1.81,5.29,35.68,Medium,6,50.43
NeuroFinanceSystems,Healthcare,396.54,1,3.85,9.53,35.62,Large,3,61.92
InnoFinanceTech,FinTech,7.7,11,9.01,32.52,93.14,Medium,4,27.96
SmartCloudVentures,AI,296.28,12,9.54,23.8,79.31,Small,4,6.12
FinEdgeHub,Quantum Computing,305.57,11,7.43,1.37,89.12,Medium,12,27.54
AgriFinanceSystems,Healthcare,456.07,4,7.49,72.61,89.67,Medium,6,13.31
QuantumHealthInc,Healthcare,62.41,7,8.71,53.02,16.98,Small,8,61.5
AgriCloudInc,FinTech,271.22,2,5.91,40.06,37.22,Small,4,0.62
FinEdgeAnalytics,AgriTech,359.17,12,4.51,53.52,64.75,Large,5,2.38
TechHealthVentures,AgriTech,95.85,1,5.78,5.6,67.79,Small,1,99.25
SmartConnectTech,AI,260.97,12,5.48,78.06,45.51,Large,4,20.55
FinEdgeInnovations,Quantum Computing,169.17,4,9.59,35.34,38.0,Large,12,85.01
InnoCloudHub,Cybersecurity,120.72,5,1.6,17.92,43.37,Medium,2,35.29
HyperCloudSystems,Quantum Computing,449.06,7,7.02,32.78,49.58,Medium,2,98.87
AgriLabAnalytics,EdTech,239.04,3,7.54,13.18,30.82,Large,20,83.65
AgriGrowthHub,Quantum Computing,388.37,6,3.94,44.0,55.0,Small,7,87.07
SmartAISystems,EdTech,284.41,5,1.46,13.75,65.84,Small,11,30.89
NextHealthAnalytics,GreenTech,468.74,8,5.83,38.25,53.67,Medium,20,16.67
AgriLabSystems,Healthcare,216.69,3,7.08,27.74,77.44,Small,5,92.93
NeuroHealthTech,EdTech,257.49,2,6.69,47.21,48.96,Large,16,35.06
NextDataTech,Healthcare,272.2,6,3.68,33.52,4.13,Medium,16,45.98
FinGrowthAnalytics,GreenTech,431.45,5,5.23,72.72,72.08,Small,15,20.88
NextAISolutions,Healthcare,49.84,10,1.54,41.75,61.3,Medium,15,94.7
FinSphereInnovations,Cybersecurity,241.76,4,3.76,46.44,14.04,Large,8,0.01
FinAIVentures,Quantum Computing,115.07,7,4.61,16.44,20.58,Small,8,61.42
SmartSphereTech,AgriTech,327.15,14,8.78,48.26,9.44,Small,8,8.57
FinLabHub,Quantum Computing,176.04,5,4.52,37.67,49.0,Small,13,87.54
NextSphereSystems,Cybersecurity,432.54,5,7.9,65.81,42.37,Large,16,93.22
GreenConnectSolutions,Cybersecurity,309.98,9,9.36,39.94,69.58,Medium,15,11.9
GreenEdgeInnovations,EdTech,31.22,1,4.94,13.69,67.32,Medium,1,66.6
QuantumLabInnovations,AI,263.07,11,3.76,59.65,22.68,Small,20,58.09
NeuroConnectAnalytics,EdTech,357.43,4,7.43,54.61,0.5,Small,2,45.34
InnoLabSystems,Autonomous Vehicles,176.11,6,9.96,61.46,47.92,Small,7,88.84
NeuroFinanceVentures,Autonomous Vehicles,153.08,7,7.75,67.65,86.17,Large,4,90.84
QuantumDataAI,Cybersecurity,394.92,8,4.18,30.0,48.46,Medium,16,87.5
AgriGrowthSolutions,FinTech,159.9,8,6.06,30.57,96.61,Medium,8,97.74
FinEdgeHub,FinTech,259.85,8,7.8,37.66,5.84,Small,8,24.56
AgriGrowthSolutions,AgriTech,234.33,10,4.49,42.11,97.07,Small,14,15.32
AgriGrowthNetwork,Cybersecurity,150.21,2,4.05,44.86,45.95,Large,7,82.79
TechGrowthNetwork,EdTech,425.86,3,6.7,23.78,59.65,Medium,4,22.12
AgriDataHub,Quantum Computing,301.23,8,1.22,57.59,79.26,Small,20,85.7
AgriHealthVentures,AgriTech,156.98,15,8.41,23.51,75.66,Medium,7,50.03
GreenDataSolutions,AI,222.95,10,7.47,47.75,92.47,Small,6,99.82
NeuroLabAI,AI,320.79,2,6.33,38.58,89.42,Medium,7,42.89
GreenFinanceTech,AgriTech,220.73,4,2.32,58.87,79.93,Small,10,83.44
HyperFinanceNetwork,AI,52.93,4,6.08,48.69,0.97,Large,11,62.87
NeuroHealthVentures,Healthcare,81.2,13,2.58,51.34,8.91,Medium,13,91.02
TechEdgeInnovations,Autonomous Vehicles,495.81,4,3.29,76.74,33.26,Small,1,8.69
InnoSphereHub,AI,102.04,12,2.27,55.22,83.68,Small,7,80.88
NeuroDataNetwork,Healthcare,84.25,4,3.69,44.08,58.52,Medium,18,21.13
AgriCloudAnalytics,Cybersecurity,412.96,2,4.1,75.69,52.22,Large,19,57.71
AgriSphereHub,FinTech,330.0,15,8.12,14.19,83.67,Medium,4,26.35
FinAIAI,FinTech,240.67,15,1.26,17.03,2.61,Small,16,9.88
NeuroDataSolutions,EdTech,200.06,14,8.08,7.54,65.98,Large,8,87.93
AgriEdgeNetwork,Healthcare,415.79,2,5.84,34.39,48.92,Large,13,26.95
TechGrowthInnovations,Cybersecurity,72.74,4,3.67,1.76,54.36,Medium,16,35.12
NextConnectAnalytics,GreenTech,7.5,4,5.66,68.17,64.14,Medium,18,55.66
TechCloudNetwork,Cybersecurity,377.66,12,9.29,58.57,50.14,Large,2,22.26
NeuroHealthAI,FinTech,483.15,14,2.14,10.18,5.37,Large,18,99.38
GreenDataVentures,AI,456.19,4,1.76,22.52,58.23,Medium,4,26.48
NextLabInnovations,Healthcare,232.18,4,1.24,54.36,29.32,Medium,18,53.87
HyperEdgeSystems,Autonomous Vehicles,329.48,11,3.71,50.36,65.47,Medium,19,72.63
NextEdgeVentures,Healthcare,349.08,10,8.98,66.97,38.35,Small,6,70.66
FinDataSolutions,Quantum Computing,143.34,5,1.8,12.99,49.39,Small,9,28.62
FinGrowthAnalytics,Healthcare,463.23,1,9.99,60.79,31.95,Medium,14,25.38
FinGrowthInnovations,EdTech,55.71,8,6.77,28.3,45.69,Large,8,44.07
SmartGrowthSystems,Autonomous Vehicles,248.56,1,3.05,40.25,61.5,Large,13,72.97
NextGrowthVentures,Quantum Computing,457.55,3,4.4,22.64,18.13,Medium,10,19.12
FinGrowthVentures,GreenTech,418.37,3,8.81,7.01,29.87,Large,18,49.38
FinFinanceInc,Cybersecurity,364.47,2,3.59,71.57,58.25,Medium,5,87.48
GreenCloudInc,GreenTech,413.94,3,9.08,24.72,84.82,Small,2,84.37
NextEdgeAnalytics,AI,138.9,3,3.15,77.88,54.23,Small,16,89.24
SmartConnectInnovations,GreenTech,25.02,14,6.18,60.14,94.7,Medium,8,52.67
TechHealthNetwork,Autonomous Vehicles,381.53,13,2.57,30.69,54.42,Large,14,98.3
TechLabVentures,AI,221.9,13,3.31,34.87,99.06,Medium,19,31.35
QuantumDataNetwork,FinTech,498.81,4,3.92,29.97,92.77,Small,9,55.34
QuantumEdgeAI,EdTech,247.85,13,5.17,11.68,55.4,Large,13,85.2
NextGrowthAI,Healthcare,476.29,14,5.18,29.42,87.6,Small,17,81.66
NextDataTech,FinTech,469.3,12,5.54,66.1,83.76,Small,6,3.19
GreenFinanceSystems,Cybersecurity,357.91,12,4.8,49.09,29.91,Large,1,87.9
TechSphereSystems,AgriTech,250.36,7,5.64,21.28,46.83,Small,7,51.67
AgriConnectNetwork,Healthcare,290.08,4,3.65,11.84,86.17,Small,2,87.92
AgriFinanceVentures,AI,346.06,1,2.59,65.33,57.34,Large,9,86.85
FinCloudVentures,FinTech,136.89,13,3.01,49.03,70.16,Small,16,24.96
SmartLabSystems,GreenTech,127.15,11,1.23,3.01,57.58,Small,18,72.46
GreenHealthInc,GreenTech,142.74,13,9.26,30.4,87.68,Small,17,17.02
FinGrowthAnalytics,AgriTech,132.38,15,2.69,8.12,81.91,Medium,17,67.94
QuantumCloudSystems,Quantum Computing,322.0,5,1.22,39.49,58.84,Small,2,77.07
NextEdgeAI,Healthcare,23.28,1,9.82,30.54,66.15,Medium,3,71.09
AgriDataAI,EdTech,17.87,13,7.06,11.74,53.22,Large,19,32.6
InnoDataInnovations,Healthcare,430.9,3,4.53,12.87,12.9,Medium,8,19.07
AgriFinanceSystems,EdTech,148.58,3,6.89,41.27,55.46,Small,2,96.84
AgriConnectTech,Healthcare,99.46,2,6.57,51.83,64.68,Medium,16,6.52
NextFinanceSystems,FinTech,201.09,6,9.15,50.99,9.7,Large,9,34.17
NextHealthTech,AI,310.06,9,9.43,74.63,48.09,Small,20,1.66
GreenAIAI,Healthcare,137.27,14,7.08,20.29,29.83,Small,15,45.61
QuantumConnectAnalytics,FinTech,148.4,9,5.12,2.6,64.2,Large,15,72.5
NeuroSphereVentures,EdTech,82.95,4,9.92,8.22,59.78,Medium,2,89.15
NextFinanceSolutions,AI,89.75,7,1.07,2.11,40.69,Medium,8,23.88
TechFinanceSystems,FinTech,348.48,8,5.28,38.61,26.02,Small,18,99.32
NeuroConnectInc,Autonomous Vehicles,261.72,14,3.64,40.58,91.5,Small,1,46.36
InnoAISolutions,EdTech,49.56,15,1.59,45.53,11.58,Small,18,89.44
QuantumCloudSolutions,FinTech,229.25,4,9.0,70.56,25.89,Small,8,94.46
NeuroFinanceAnalytics,Cybersecurity,8.28,1,9.03,70.43,98.24,Small,16,10.94
SmartGrowthTech,Autonomous Vehicles,459.29,11,7.86,68.28,72.02,Small,20,63.08
GreenSphereSystems,Healthcare,15.95,10,8.35,53.19,88.81,Small,19,37.64
GreenHealthAI,Healthcare,325.3,5,8.73,30.75,89.53,Large,9,97.56
TechCloudVentures,Cybersecurity,320.33,11,5.59,12.96,21.41,Small,13,21.14
TechHealthInnovations,GreenTech,294.87,12,7.33,10.96,90.51,Medium,20,95.3
AgriAIVentures,GreenTech,339.57,3,6.89,57.71,77.73,Medium,17,28.73
InnoHealthAnalytics,EdTech,365.79,15,5.46,70.57,84.74,Medium,5,24.32
AgriLabInnovations,Cybersecurity,450.41,4,4.64,56.99,51.8,Medium,1,48.82
SmartGrowthSystems,GreenTech,9.92,2,1.01,20.09,83.64,Small,8,97.55
TechSphereHub,Autonomous Vehicles,364.48,8,8.29,8.5,61.32,Small,15,30.12
FinSphereInc,AgriTech,493.16,12,2.87,58.12,4.38,Large,19,95.45
NextHealthInnovations,Cybersecurity,362.06,8,7.64,61.54,87.24,Small,20,89.98
AgriFinanceVentures,FinTech,88.74,8,8.49,54.08,82.65,Large,12,82.52
AgriDataVentures,AI,85.94,12,7.39,14.3,55.2,Large,20,20.72
InnoSphereHub,Quantum Computing,433.4,14,7.82,15.72,88.5,Large,8,42.01
SmartDataInnovations,Healthcare,186.13,4,5.14,68.92,87.32,Large,6,27.67
FinDataNetwork,Autonomous Vehicles,159.38,6,6.35,54.92,45.38,Large,15,92.98
TechFinanceTech,AI,490.46,13,4.81,5.18,79.22,Medium,16,65.1
AgriHealthHub,Quantum Computing,229.18,7,8.99,9.66,40.55,Large,20,96.08
QuantumCloudSolutions,AgriTech,84.75,13,5.26,46.92,57.12,Large,17,3.69
QuantumDataAI,GreenTech,182.97,1,7.81,42.48,52.91,Medium,7,15.59
InnoSphereAnalytics,GreenTech,33.91,1,6.53,51.59,2.31,Medium,5,67.27
AgriDataInc,GreenTech,499.95,10,5.17,69.38,6.64,Large,19,90.34
NextFinanceAnalytics,FinTech,146.86,7,9.43,63.71,10.68,Large,18,71.02
QuantumSphereInnovations,Healthcare,284.21,15,7.78,26.69,47.42,Small,1,54.43
FinSphereVentures,Autonomous Vehicles,89.39,14,5.34,12.93,98.58,Small,17,89.23
TechDataSystems,Cybersecurity,416.36,13,3.7,13.25,55.83,Medium,12,82.54
NeuroHealthAnalytics,GreenTech,428.69,2,4.83,52.79,76.38,Large,19,88.97
HyperDataInc,Healthcare,228.61,7,8.64,36.9,45.06,Small,7,62.36
HyperGrowthAnalytics,AgriTech,298.13,8,8.44,67.77,66.63,Medium,4,41.59
FinLabHub,Autonomous Vehicles,92.99,4,4.8,30.46,9.57,Small,12,31.44
GreenGrowthInc,AgriTech,486.71,10,7.8,2.9,37.97,Large,17,1.04
NeuroHealthSolutions,GreenTech,279.1,7,4.03,71.22,72.95,Small,5,51.04
InnoDataHub,AgriTech,342.34,5,9.27,34.1,38.0,Medium,1,55.15
AgriDataInc,Quantum Computing,338.6,5,3.72,9.33,34.25,Medium,16,58.01
HyperGrowthInnovations,Autonomous Vehicles,153.9,3,8.09,77.53,75.61,Medium,18,95.55
TechGrowthVentures,Autonomous Vehicles,392.3,3,4.55,65.83,74.68,Large,8,89.96
HyperHealthSystems,AI,161.25,10,8.56,68.1,49.62,Medium,7,28.91
TechConnectSolutions,AI,156.92,4,4.86,41.32,8.28,Small,3,88.09
NextSphereNetwork,FinTech,63.32,9,4.92,65.87,30.34,Large,10,7.49
QuantumEdgeVentures,AgriTech,126.82,4,3.03,2.18,11.17,Small,18,10.53
TechConnectAnalytics,Autonomous Vehicles,441.95,9,1.66,17.13,17.26,Small,2,64.53
AgriEdgeSystems,Cybersecurity,306.65,8,8.69,75.33,72.83,Large,15,22.98
InnoHealthSolutions,AgriTech,424.83,12,4.77,9.55,70.6,Small,8,14.79
TechDataAI,FinTech,17.96,8,7.69,33.41,68.85,Small,3,3.64
NeuroSphereSolutions,Healthcare,72.73,7,7.79,60.83,71.35,Medium,17,28.7
AgriFinanceAI,AgriTech,359.8,13,5.64,8.16,78.23,Small,7,84.1
GreenFinanceInc,EdTech,116.8,7,7.34,71.18,60.71,Medium,15,77.11
TechSphereVentures,Cybersecurity,48.1,1,2.55,62.27,61.38,Small,4,59.22
InnoEdgeInc,Quantum Computing,84.58,15,7.22,43.0,52.03,Medium,11,64.27
FinSphereInnovations,AI,228.62,7,6.43,33.39,77.33,Small,2,91.99
TechSphereNetwork,Cybersecurity,57.94,11,8.68,43.61,91.07,Small,14,18.33
HyperConnectTech,AgriTech,485.13,9,2.37,68.15,16.66,Small,11,79.96
AgriHealthVentures,GreenTech,201.21,10,7.43,37.67,3.95,Large,10,88.45
FinLabHub,Quantum Computing,148.41,1,1.24,11.27,32.49,Large,4,60.29
TechFinanceTech,Quantum Computing,215.03,6,6.42,74.52,33.91,Medium,17,8.6
InnoDataTech,AI,377.45,12,3.14,45.58,61.57,Medium,14,0.07
TechFinanceAI,AgriTech,322.64,3,8.83,16.1,60.12,Small,20,73.27
GreenDataHub,Autonomous Vehicles,458.59,3,8.26,74.19,94.3,Large,2,58.08
FinGrowthInc,FinTech,89.39,8,2.43,2.76,41.52,Medium,5,39.45
SmartCloudAnalytics,EdTech,250.22,7,6.16,1.6,3.93,Large,13,18.0
FinGrowthInnovations,Autonomous Vehicles,478.71,9,1.16,19.45,1.76,Large,9,98.06
GreenLabNetwork,AI,152.54,9,9.25,22.0,5.0,Small,7,80.4
GreenAIHub,Healthcare,462.39,2,6.08,53.44,63.13,Medium,3,16.75
AgriCloudNetwork,AgriTech,28.49,11,4.89,23.69,38.84,Small,12,3.39
GreenGrowthAnalytics,GreenTech,60.79,14,1.76,77.9,18.06,Medium,6,36.45
NeuroConnectHub,AI,82.26,7,5.05,26.29,33.14,Small,10,16.51
NeuroGrowthAI,Autonomous Vehicles,495.96,4,9.49,74.49,80.88,Large,11,91.98
NeuroAISolutions,Autonomous Vehicles,153.71,15,1.63,46.03,29.92,Small,18,81.15
TechSphereInnovations,AI,194.41,10,5.47,60.39,40.74,Medium,14,70.03
NextConnectAnalytics,Cybersecurity,340.02,6,1.38,62.22,93.29,Medium,11,10.03
HyperDataNetwork,GreenTech,196.59,3,4.13,12.47,68.96,Small,9,11.74
TechFinanceAnalytics,Cybersecurity,83.16,15,2.89,21.93,49.73,Small,12,11.93
AgriAIInc,Healthcare,72.22,13,7.88,2.6,99.32,Large,18,32.43
AgriLabTech,Quantum Computing,10.16,2,9.95,24.7,44.94,Small,3,18.91
HyperSphereVentures,Autonomous Vehicles,196.8,11,4.3,63.84,86.02,Large,10,67.1
FinAINetwork,GreenTech,129.74,5,3.75,27.2,41.43,Medium,7,93.39
QuantumConnectNetwork,Healthcare,194.93,9,6.85,35.01,42.57,Large,10,35.57
FinGrowthNetwork,EdTech,229.93,14,6.74,8.05,62.31,Large,9,26.2
HyperSphereHub,Healthcare,418.96,6,2.26,20.21,88.81,Medium,18,13.71
FinCloudVentures,Quantum Computing,452.6,7,3.73,61.12,36.78,Large,10,90.49
FinHealthHub,Autonomous Vehicles,428.67,9,7.25,3.03,43.67,Large,13,10.76
GreenDataSolutions,AgriTech,161.86,13,1.74,54.43,93.75,Small,11,31.92
NextFinanceSolutions,Autonomous Vehicles,319.9,4,3.56,67.47,49.57,Small,14,87.28
